Date,Visitor,G,Home,G,,Att.,LOG,Notes
10/2/2019,Vancouver Canucks,2,Edmonton Oilers,3,,18347,2:23,
10/2/2019,Washington Capitals,3,St. Louis Blues,2,OT,18096,2:32,
10/2/2019,Ottawa Senators,3,Toronto Maple Leafs,5,,19612,2:36,
10/2/2019,San Jose Sharks,1,Vegas Golden Knights,4,,18588,2:44,
10/3/2019,Arizona Coyotes,1,Anaheim Ducks,2,,17174,2:25,
10/3/2019,Montreal Canadiens,3,Carolina Hurricanes,4,SO,18680,2:41,
10/3/2019,Calgary Flames,3,Colorado Avalanche,5,,18016,2:40,
10/3/2019,Boston Bruins,2,Dallas Stars,1,,18532,2:33,
10/3/2019,Minnesota Wild,2,Nashville Predators,5,,17455,2:29,
10/3/2019,Winnipeg Jets,4,New York Rangers,6,,18006,2:30,
10/3/2019,Buffalo Sabres,3,Pittsburgh Penguins,1,,18616,2:29,
10/3/2019,Florida Panthers,2,Tampa Bay Lightning,5,,19092,2:27,
10/4/2019,Toronto Maple Leafs,4,Columbus Blue Jackets,1,,18776,2:26,
10/4/2019,Winnipeg Jets,5,New Jersey Devils,4,SO,16514,2:36,
10/4/2019,Washington Capitals,2,New York Islanders,1,,13917,2:27,
10/4/2019,Chicago Blackhawks,3,Philadelphia Flyers,4,,17463,2:31,NHL Global Series
10/4/2019,Vegas Golden Knights,5,San Jose Sharks,1,,17562,2:28,
10/5/2019,San Jose Sharks,1,Anaheim Ducks,3,,15795,2:27,
10/5/2019,Boston Bruins,1,Arizona Coyotes,0,,17125,2:17,
10/5/2019,New Jersey Devils,2,Buffalo Sabres,7,,19070,2:24,
10/5/2019,Vancouver Canucks,0,Calgary Flames,3,,19005,2:28,
10/5/2019,Minnesota Wild,2,Colorado Avalanche,4,,17090,2:32,
10/5/2019,Los Angeles Kings,5,Edmonton Oilers,6,,18347,2:30,
10/5/2019,Tampa Bay Lightning,3,Florida Panthers,4,,17424,2:29,
10/5/2019,Detroit Red Wings,5,Nashville Predators,3,,17539,2:36,
10/5/2019,New York Rangers,4,Ottawa Senators,1,,15135,2:25,
10/5/2019,Columbus Blue Jackets,2,Pittsburgh Penguins,7,,18595,2:23,
10/5/2019,Dallas Stars,2,St. Louis Blues,3,,18096,2:28,
10/5/2019,Montreal Canadiens,6,Toronto Maple Leafs,5,SO,19547,4:03,
10/5/2019,Carolina Hurricanes,3,Washington Capitals,2,OT,18573,2:53,
10/6/2019,Tampa Bay Lightning,3,Carolina Hurricanes,4,OT,14125,2:39,
10/6/2019,Dallas Stars,3,Detroit Red Wings,4,,19515,2:28,
10/6/2019,Winnipeg Jets,1,New York Islanders,4,,9923,2:23,
