,Anaheim Ducks,Arizona Coyotes,Boston Bruins,Buffalo Sabres,Calgary Flames,Carolina Hurricanes,Chicago Blackhawks,Colorado Avalanche,Columbus Blue Jackets,Dallas Stars,Detroit Red Wings,Edmonton Oilers,Florida Panthers,LA Kings,Minnesota Wild,Montreal Canadiens,Nashville Predators,New Jersey Devils,New York Islanders,New York Rangers,Ottawa Senators,Philadelphia Flyers,Pittsburgh Penguins,San Jose Sharks,St. Louis Blues,Seattle Kraken,Tampa Bay Lightning,Toronto Maple Leafs,Vancouver Canucks,Vegas Golden Knights,Washington Capitals,Winnipeg Jets,,,,,,,,,,,,,,,,
Anaheim Ducks,-,543,4162,3531,1965,3554,2771,1359,3170,1934,3147,2209,3712,58,2446,3960,2845,3907,3940,3932,3795,3821,3396,550,2567,1575,3416,3466,1780,364,3674,2470,,,,,,,,,,,,,,,,
Arizona Coyotes,543,-,3693,3070,1974,3036,2312,967,2683,1393,2683,2213,3168,594,2052,3521,2326,3424,3457,3450,3356,3332,2912,998,2070,1781,2872,3013,1980,411,3177,2196,,,,,,,,,,,,,,,,
Boston Bruins,4162,3693,-,634,3365,984,1391,2815,1027,2508,1014,3343,1993,4192,1803,404,1513,322,299,296,497,449,796,4316,1642,4004,1907,715,4033,3822,641,2173,,,,,,,,,,,,,,,,
Buffalo Sabres,3531,3070,634,-,2793,785,760,2182,476,1949,387,2796,1879,3561,1178,500,1018,452,483,468,360,448,299,3682,1052,3405,1698,109,3447,3189,476,1610,,,,,,,,,,,,,,,,
Calgary Flames,1965,1974,3365,2793,-,3263,2223,1447,2693,2451,2517,243,3989,1943,1688,3015,2734,3246,3276,3261,2878,3224,2840,1653,2347,727,3678,2689,686,1675,3168,1191,,,,,,,,,,,,,,,,
Carolina Hurricanes,3554,3036,984,785,3263,-,1039,2306,582,1704,806,3316,1098,3594,1575,1156,709,669,686,692,1082,542,528,3819,1019,3779,946,870,3860,3252,364,2154,,,,,,,,,,,,,,,,
Chicago Blackhawks,2771,2312,1391,760,2223,1039,-,1425,475,1290,376,2279,1905,2801,536,1214,659,1154,1188,1177,1051,1088,662,2936,414,2760,1631,701,2830,2431,982,1137,,,,,,,,,,,,,,,,
Colorado Avalanche,1359,967,2815,2182,1447,2306,1425,-,1853,1031,1802,1640,2738,1384,1093,2601,1627,2576,2609,2599,2436,2500,2070,1522,1286,1644,2422,2112,1789,1008,2369,1260,,,,,,,,,,,,,,,,
Columbus Blue Jackets,3170,2683,1027,476,2693,582,475,1853,-,1489,249,2738,1569,3204,1005,975,543,742,775,767,835,651,231,3374,617,3236,1337,490,3305,2843,518,1572,,,,,,,,,,,,,,,,
Dallas Stars,1934,1393,2508,1949,2451,1704,1290,1031,1489,-,1586,2622,1799,1983,1372,2445,1014,2204,2234,2231,2291,2092,1715,2309,904,2667,1493,1929,2818,1694,1914,1891,,,,,,,,,,,,,,,,
Detroit Red Wings,3147,2683,1014,387,2517,806,376,1802,249,1586,-,2547,1818,3178,847,864,734,783,816,804,706,727,322,3311,682,3092,1584,344,3149,2808,651,1367,,,,,,,,,,,,,,,,
Edmonton Oilers,2209,2213,3343,2796,243,3316,2279,1640,2738,2622,2547,-,4095,2186,1744,2978,2827,3247,3276,3261,2849,3236,2869,1885,2443,897,3789,2689,808,1918,3195,1187,,,,,,,,,,,,,,,,
Florida Panthers,3712,3168,1993,1879,3989,1098,1905,2738,1569,1799,1818,4095,-,3763,2395,2238,1277,1716,1723,1734,2177,1600,1603,4109,1655,4366,316,1958,4489,3492,1450,3027,,,,,,,,,,,,,,,,
LA Kings,58,594,4192,3561,1943,3594,2801,1384,3204,1983,3178,2186,3763,-,2468,3986,2886,3940,3974,3965,3821,3856,3429,495,2603,1536,3466,3494,1740,380,3710,2477,,,,,,,,,,,,,,,,
Minnesota Wild,2446,2052,1803,1178,1688,1575,536,1093,1005,1372,847,1744,2395,2468,-,1537,1119,1617,1650,1637,1375,1573,1165,2530,758,2244,2104,1088,2304,2088,1494,635,,,,,,,,,,,,,,,,
Montreal Canadiens,3960,3521,404,500,3015,1156,1214,2601,975,2445,864,2978,2238,3986,1537,-,1514,537,540,525,165,640,776,4067,1544,3676,2102,520,3692,3609,792,1829,,,,,,,,,,,,,,,,
Nashville Predators,2845,2326,1513,1018,2734,709,659,1627,543,1014,734,2827,1277,2886,1119,1514,-,1200,1229,1227,1378,1083,742,3125,386,3175,986,1032,3277,2549,902,1752,,,,,,,,,,,,,,,,
New Jersey Devils,3907,3424,322,452,3246,669,1154,2576,742,2204,783,3247,1716,3940,1617,537,1200,-,33,27,529,128,512,4090,1358,3854,1606,558,3898,3575,318,2062,,,,,,,,,,,,,,,,
